Epoch,Time/train/epoch,Time/train/total,Time/val/epoch,Time/val/total,latent/train/latent_mean,latent/train/latent_std,latent/val/latent_mean,latent/val/latent_std,lr-Adam,recon/train_loss,recon/train_mae,recon/train_psnr,recon/train_ssim,recon/val_loss,recon/val_mae,recon/val_psnr,recon/val_ssim,step
21.0,4.774084091186523,109.88085174560547,,,-0.005999713204801083,0.9963073134422302,,,,0.008893861435353756,0.029300689697265625,20.515701293945312,1.0221710205078125,,,,,21.0
,,,,,,,,,0.001,,,,,,,,,4136
22.0,,,0.7595200538635254,27.57939910888672,,,-0.004532455001026392,1.0012916326522827,,,,,,0.009681738913059235,0.030588839203119278,20.15664291381836,1.0159746408462524,22.0
22.0,4.613084316253662,114.49393463134766,,,-0.005696364212781191,0.9989687204360962,,,,0.008773675188422203,0.02912007085978985,20.57343101501465,1.0230226516723633,,,,,22.0
,,,,,,,,,0.001,,,,,,,,,4324
23.0,,,0.7589764595031738,28.338375091552734,,,-0.0041472893208265305,1.0008307695388794,,,,,,0.009855387732386589,0.030785158276557922,20.07848358154297,1.0148530006408691,23.0
23.0,4.512640953063965,119.00657653808594,,,-0.005759926978498697,1.0089062452316284,,,,0.008619584143161774,0.028901774436235428,20.649658203125,1.023923635482788,,,,,23.0
,,,,,,,,,0.001,,,,,,,,,4512
24.0,,,0.7770390510559082,29.115413665771484,,,-0.0034742814023047686,1.0071927309036255,,,,,,0.009791822172701359,0.031017037108540535,20.107023239135742,1.0138049125671387,24.0
24.0,4.4373650550842285,123.44393920898438,,,-0.0054530310444533825,1.0137187242507935,,,,0.008513211272656918,0.028737584128975868,20.703105926513672,1.0246975421905518,,,,,24.0
,,,,,,,,,0.001,,,,,,,,,4700
25.0,,,0.7454001903533936,29.86081314086914,,,-0.003323146840557456,1.0122369527816772,,,,,,0.009992429986596107,0.031218113377690315,20.017900466918945,1.012192726135254,25.0
25.0,4.387989521026611,127.8319320678711,,,-0.005338008981198072,1.0131536722183228,,,,0.008525727316737175,0.028768211603164673,20.69658660888672,1.0245726108551025,,,,,25.0
,,,,,,,,,0.001,,,,,,,,,4888
26.0,,,0.7925841808319092,30.653398513793945,,,-0.0037547124084085226,1.004226565361023,,,,,,0.009717590175569057,0.03059808537364006,20.14022445678711,1.015661358833313,26.0
26.0,4.490331649780273,132.322265625,,,-0.004864515736699104,1.0138827562332153,,,,0.008504742756485939,0.028741855174303055,20.70965576171875,1.0246189832687378,,,,,26.0
,,,,,,,,,0.001,,,,,,,,,5076
27.0,,,0.7408537864685059,31.39425277709961,,,-0.0014434102922677994,1.0100129842758179,,,,,,0.009662258438766003,0.03061739355325699,20.164655685424805,1.0153676271438599,27.0
27.0,4.425619125366211,136.7478790283203,,,-0.004958171863108873,1.0273385047912598,,,,0.008194769732654095,0.028267337009310722,20.868417739868164,1.026792049407959,,,,,27.0
,,,,,,,,,0.001,,,,,,,,,5264
28.0,,,0.7387309074401855,32.13298416137695,,,-0.002455088309943676,1.0207186937332153,,,,,,0.00950123742222786,0.03040180541574955,20.238609313964844,1.0164463520050049,28.0
28.0,4.409064769744873,141.15695190429688,,,-0.0044648353941738605,1.0166614055633545,,,,0.008408231660723686,0.028589749708771706,20.758073806762695,1.0253088474273682,,,,,28.0
,,,,,,,,,0.001,,,,,,,,,5452
29.0,,,0.797593355178833,32.93057632446289,,,-0.003764609107747674,1.012125015258789,,,,,,0.00963407102972269,0.030677737668156624,20.178176879882812,1.0144685506820679,29.0
29.0,4.420807838439941,145.5777587890625,,,-0.004773078486323357,1.027580738067627,,,,0.00820972491055727,0.028280062600970268,20.86100959777832,1.0268678665161133,,,,,29.0
,,,,,,,,,0.001,,,,,,,,,5640
30.0,,,0.7601964473724365,33.690773010253906,,,-0.0031300634145736694,1.0352734327316284,,,,,,0.009360309690237045,0.030058618634939194,20.30231475830078,1.0187281370162964,30.0
